,paperid,citedbypapers,citedbypatents
0,298326672,1,0
1,2515393314,1,0
2,2511396044,4,0
3,2295753815,1,0
4,2027136107,1,0
5,1803279603,14,0
6,2050989461,2,0
7,2156461554,1,0
8,2163067739,3,0
9,1980164630,3,0
10,1546417826,1,0
11,1584558952,1,0
12,2102346651,29,0
13,2051362214,1,0
14,2517545774,1,0
15,2100564574,1,0
16,2121079875,1,0
17,24686610,1,0
18,1759219755,1,0
19,2135346934,3,0
20,1744940431,1,0
21,2110319577,1,0
22,2040221341,1,0
23,2137142526,1,0
24,131400443,1,0
25,2039560063,1,0
26,2049669266,2,0
27,2125996368,4,0
28,2044595850,1,0
29,2352408810,1,0
30,1991078090,1,0
31,1994175165,1,0
32,2048258768,1,0
33,2116424694,1,0
34,2034487448,1,0
35,2043849633,1,0
36,1983681337,2,0
37,2371170854,1,0
38,2134958933,1,0
39,1933657216,3,0
40,1988294160,1,0
41,2149500888,1,0
42,2110458017,1,0
43,2166678637,1,0
44,34873510,1,0
45,2094454155,1,0
46,1964856489,1,0
47,2509575187,2,0
48,2150108313,1,0
49,2130475111,1,0
50,2165032528,1,0
51,1979094010,1,0
52,2007678436,4,0
53,2006622983,1,0
54,1573431649,1,0
55,2064979825,1,0
56,2044666535,9,0
57,1882875006,2,0
58,1979083295,1,0
59,1986805195,3,0
60,2611174101,1,0
61,2032649554,1,0
62,2036110521,1,0
63,2006440172,1,0
64,2147139740,1,0
65,1998688823,1,0
66,2048733507,1,0
67,2084595050,2,0
68,1514611945,1,0
69,2025979639,1,0
70,2094063784,1,0
71,2078161703,1,0
72,2011924585,1,0
73,1973512416,1,0
74,2146708230,4,0
75,1607371619,1,0
76,1987902367,1,0
77,2020222162,1,0
78,2118344753,3,0
79,2000453311,1,0
80,2061675541,1,0
81,1991750682,1,0
82,2059250826,1,0
83,2081578468,2,0
84,2063087073,1,0
85,1601892773,1,0
86,2155575222,2,0
87,1944559940,2,0
88,2414118053,1,0
89,2020199624,1,0
90,2082490605,1,0
91,2148087328,1,0
92,2127480961,1,0
93,2033957624,1,0
94,1990182801,1,0
95,2075220720,2,0
96,2066513093,1,0
97,2103792013,1,0
98,2197150605,1,0
99,2101089925,1,0
100,2407920532,1,0
101,2165326261,1,0
102,1979538975,1,0
103,2135641392,1,0
104,1599510591,1,0
105,2103856835,1,0
106,2133684881,1,0
107,2129449371,1,0
108,2134807463,5,0
109,2089353369,1,0
110,2055906424,1,0
111,2108970907,5,0
