,patent_id,inventor_id,location_id
0,9329774,9329774-3,290559dc-02ce-422e-a0f4...
1,6448988,6448988-2,c09053cc-39a7-4f2a-8d59...
2,7240289,7240289-1,884262d3-43db-449f-90e2...
3,7684618,7684618-1,fd2afc45-72df-4a73-a321...
4,10121388,10121388-1,8f9d901b-2163-417a-a2...
5,9174123,9174123-3,3b0e12af-8dad-4c7b-a14d...
6,7209916,7209916-4,fa8be1f7-0bc7-479f-996f...
7,9177474,9177474-2,1e73975c-e28c-4836-aafb...
8,6430575,6430575-1,541f6aa1-ad9c-4bd3-84db...
9,9749206,9749206-2,b37e014e-e0fc-4aa8-be3a...
10,7398296,7398296-2,44a43e0d-f423-4c58-8ab4...
11,9083344,9083344-1,a80b27d1-29c7-4841-8f34...
12,7792818,7792818-3,290559dc-02ce-422e-a0f4...
13,8781231,8781231-2,2432d162-8224-48fe-bf63...
14,9124717,9124717-1,95c07c6c-8c4d-4f43-8a1d...
15,9582808,9582808-1,8cd4cbda-0f35-4bbf-83a1...
16,9250719,9250719-5,790a1f93-b417-4a90-a260...
17,8539835,8539835-2,541f6aa1-ad9c-4bd3-84db...
18,9501802,9501802-6,ba97c563-dad6-42ba-8bdf...
19,8306993,8306993-1,b6505187-1395-402f-8f8d...
20,8312469,8312469-1,6c98f34d-1b89-4885-a2c0...
21,10042446,10042446-3,95097525-b8bb-4160-95...
22,7788579,7788579-2,82c8fc98-eb85-4cea-aa20...
23,9881312,9881312-2,95eaa1ab-ec23-47cf-b59d...
24,6088019,6088019-1,a80b27d1-29c7-4841-8f34...
25,8004395,8004395-2,7953a317-7b49-40fc-85ee...
26,8275733,8275733-4,87f4dccf-c09a-46ad-82d6...
27,10037624,10037624-7,e0f2913c-7029-4d00-be...
28,9075434,9075434-5,290559dc-02ce-422e-a0f4...
29,7062497,7062497-3,884262d3-43db-449f-90e2...
30,8489399,8489399-1,ee2eea05-fc09-46be-8a5a...
31,9870057,9870057-2,884262d3-43db-449f-90e2...
32,8818350,8818350-2,4f5e4429-aac1-4314-9beb...
33,8184097,8184097-2,32ea6e49-063f-4d4f-9ed9...
34,9535600,9535600-2,c733d0ee-c009-49fa-a21c...
35,7536363,7536363-8,5be06096-3f77-40a7-96fc...
36,8365079,8365079-6,1235bfff-5472-499c-821a...
37,8732757,8732757-1,1dec8cd3-4667-49e0-a481...
38,8539372,8539372-2,19f2d635-11ac-4245-a561...
39,9080918,9080918-5,fcc9c712-bc25-4f7b-bbb4...
40,9684642,9684642-3,fd2afc45-72df-4a73-a321...
41,8745544,8745544-6,a80b27d1-29c7-4841-8f34...
42,6057828,6057828-2,6e1515fd-7a84-4c10-bdbd...
43,7487445,7487445-2,c789435b-3f38-4a55-9f30...
44,8208943,8208943-3,de5b7cf2-a000-4ed1-ad73...
45,7180501,7180501-3,85c0f856-c244-4688-86e1...
46,8522154,8522154-5,4e7797c1-b5d1-46c9-81a0...
47,10066949,10066949-2,35a36b24-2ac2-4a6a-97...
48,9519043,9519043-1,c1e481aa-3f95-47e8-9b6a...
49,7716344,7716344-3,4b636156-bb61-4c8c-a492...
50,8635248,8635248-4,4e7797c1-b5d1-46c9-81a0...
51,10120450,10120450-3,85c0f856-c244-4688-86...
52,8527274,8527274-1,83cb4e57-2d6d-4bb8-8002...
