,patent_id,inventor_id,location_id
0,9589072,9589072-3,4e7797c1-b5d1-46c9-81a0...
1,7752235,7752235-4,6f3b1f3d-3127-47ff-87df...
2,9641609,9641609-1,541f6aa1-ad9c-4bd3-84db...
3,7130885,7130885-1,731c0299-0e84-4842-8029...
4,7243130,7243130-2,4e7797c1-b5d1-46c9-81a0...
5,5103444,5103444-1,d5e4043c-b3ed-46ba-bc04...
6,7962853,7962853-4,6a53d43e-ad85-4697-85d9...
7,6408336,6408336-4,1da626e6-d84b-4942-ab53...
8,8713106,8713106-3,08631bca-ba74-4dae-9bea...
9,9112931,9112931-1,658ef0a3-a197-4374-9138...
10,6405249,6405249-3,6cb6af88-092d-4a42-987a...
11,9542259,9542259-1,4f5e4429-aac1-4314-9beb...
12,8964783,8964783-3,784bd297-e174-4b80-ab09...
13,8656391,8656391-3,2d931305-2430-45e2-a093...
14,8601099,8601099-2,abb667e3-03d5-4516-8bc2...
15,9189208,9189208-9,290559dc-02ce-422e-a0f4...
16,7634775,7634775-1,6f3b1f3d-3127-47ff-87df...
17,6938070,6938070-1,643d3081-ce8c-4126-bbbd...
18,9083708,9083708-7,22b31977-37d0-4402-8994...
19,10079789,10079789-8,290559dc-02ce-422e-a0...
20,7962505,7962505-2,e69a8019-82df-464a-9de8...
21,7640300,7640300-3,290559dc-02ce-422e-a0f4...
22,7536320,7536320-3,015e93db-920f-4bdf-a164...
23,8266536,4474281-1,7df67244-1c2d-42bd-aeeb...
24,7412518,5566337-2,a80b27d1-29c7-4841-8f34...
25,9894174,7194516-4,290559dc-02ce-422e-a0f4...
26,7617451,6307696-1,6f3b1f3d-3127-47ff-87df...
27,9298703,8990068-1,541f6aa1-ad9c-4bd3-84db...
28,6295057,D368473-1,18203c5e-0c42-4b98-974e...
29,8479259,6598167-2,d719aaf9-3ac5-4fc1-8244...
30,7426537,7287054-1,6f3b1f3d-3127-47ff-87df...
31,9230035,7017114-1,fd2afc45-72df-4a73-a321...
32,8887070,7853887-1,44a43e0d-f423-4c58-8ab4...
33,9230035,6748398-2,fd2afc45-72df-4a73-a321...
34,7680827,7680827-1,fabe4b3a-9f68-445d-9350...
35,7895334,6892225-1,fd4a84d2-4c26-4089-9098...
36,9894174,6253194-4,6f3b1f3d-3127-47ff-87df...
37,7908580,7530079-3,290559dc-02ce-422e-a0f4...
38,6791583,6731308-4,0d6ffaae-c323-4ac6-950b...
39,9222798,8326270-4,212aa9eb-3d06-4c5f-bb88...
40,7634542,7634542-1,78e01d44-d1af-4527-9224...
41,5634005,4303443-4,9afa0f25-903d-41f1-b589...
42,7890549,7444237-1,44a43e0d-f423-4c58-8ab4...
43,7788182,4814552-1,56a4bde6-3d67-496b-a899...
44,6862686,6002874-1,35a36b24-2ac2-4a6a-9714...
45,7505785,6058304-3,2204d22f-8f9a-4a0c-bd57...
46,7996338,7996338-1,0010c4ad-3f0a-4f72-b168...
47,8434013,6234408-2,5eaad00f-2fd8-4b3c-a4bf...
48,7831476,7831476-3,a80b27d1-29c7-4841-8f34...
49,5786846,5786846-1,6cb6af88-092d-4a42-987a...
50,10079789,7865563-11,6f3b1f3d-3127-47ff-87...
51,7391331,5649013-3,b04c1398-770a-4b72-8206...
52,9600582,5335291-1,c83fc1fd-8986-440d-a1fa...
53,8989356,7522711-2,290559dc-02ce-422e-a0f4...
54,8984407,8078972-1,78ce0f74-293e-496c-9763...
55,7528729,5649013-3,b04c1398-770a-4b72-8206...
56,9361603,6131116-10,a80b27d1-29c7-4841-8f3...
57,6594819,5948059-3,ff8b815b-6c2e-4229-a07d...
58,9529861,6781599-2,4f5e4429-aac1-4314-9beb...
59,7607141,7359902-5,6f3b1f3d-3127-47ff-87df...
60,6523063,6453337-1,541f6aa1-ad9c-4bd3-84db...
61,5537526,4491560-3,3af1db57-f6de-4928-96e5...
62,8243317,7136941-3,77bae20e-3d4e-4023-8d7e...
63,7337388,7337388-2,e2a1331d-c9c6-4118-a97a...
64,9948677,8984582-7,5106b80f-e68f-406b-8f6e...
65,7039679,5790425-1,790a1f93-b417-4a90-a260...
66,7707249,7627810-3,57826b84-2949-48ed-9f25...
67,10137369,4592546-2,62cde0e7-2c4c-4371-967...
68,9672692,4592546-2,85c0f856-c244-4688-86e1...
69,9894174,6910068-2,6f3b1f3d-3127-47ff-87df...
70,6959322,5617539-1,516dc1f7-e51a-4871-a43d...
71,7653879,6121968-1,290559dc-02ce-422e-a0f4...
72,8825689,6467009-3,c759e374-2319-46d8-a2ff...
73,7148906,4691982-2,00e8a71d-de3c-4582-8403...
74,7665127,7665127-2,173a6b7d-1b3f-43f9-8b89...
75,5983214,5867799-2,22b31977-37d0-4402-8994...
76,8214315,7743009-5,27f0515f-6804-40d4-adc8...
77,9747266,7831558-4,6f3b1f3d-3127-47ff-87df...
78,5986655,4987492-2,56a4bde6-3d67-496b-a899...
79,8761542,8761542-1,b4ccd22e-5d40-4a9d-9be8...
80,6397387,D368473-1,18203c5e-0c42-4b98-974e...
81,7451156,7359902-11,6f3b1f3d-3127-47ff-87d...
82,8472722,4876455-3,4f5e4429-aac1-4314-9beb...
83,9582239,8238958-3,784bd297-e174-4b80-ab09...
84,10084665,10084665-1,df51e03f-f757-495c-96...
85,8732011,5960411-3,290559dc-02ce-422e-a0f4...
86,9128801,8438532-2,7d3fdfdd-b8f9-41a1-a35c...
87,7941762,7941762-2,884262d3-43db-449f-90e2...
88,9430454,5983245-2,56a4bde6-3d67-496b-a899...
89,10142770,7593740-2,c42f3660-843b-44f6-8d1...
90,7779343,7779343-3,4e7797c1-b5d1-46c9-81a0...
91,5758110,5737530-3,22bcedd3-165a-479f-b527...
92,8572030,7941399-10,290559dc-02ce-422e-a0f...
93,7668873,5964885-1,6f3b1f3d-3127-47ff-87df...
94,8554605,8554605-4,541f6aa1-ad9c-4bd3-84db...
95,7991650,7881984-1,77bae20e-3d4e-4023-8d7e...
96,9230287,8463796-1,44a43e0d-f423-4c58-8ab4...
97,7424676,6931592-5,6f3b1f3d-3127-47ff-87df...
98,5854893,5617539-3,55a2157c-95fa-408a-9d3a...
99,7770180,6307696-1,6f3b1f3d-3127-47ff-87df...
100,6789105,5617539-1,11e4177e-4824-4f04-a57e...
101,9317185,7743009-3,27f0515f-6804-40d4-adc8...
102,9600473,8909513-1,c09053cc-39a7-4f2a-8d59...
