,patent_id,inventor_id,location_id
0,9602152,9602152-3,bd32eb7a-68b6-424d-9921...
1,7715873,7715873-1,32eb5a8e-adfc-435d-943c...
2,9178446,9178446-5,8f9d901b-2163-417a-a26e...
3,9727135,9727135-3,8f9d901b-2163-417a-a26e...
4,10132633,10132633-4,6f3b1f3d-3127-47ff-87...
5,8239764,8239764-4,53b2ae51-5ee3-4eee-84f2...
6,9240823,9240823-1,290559dc-02ce-422e-a0f4...
7,10088192,10088192-2,541f6aa1-ad9c-4bd3-84...
8,9653044,9653044-1,4e7797c1-b5d1-46c9-81a0...
9,8931020,8931020-1,bdf5508a-45a6-4642-a5f8...
10,9176214,9176214-6,77bae20e-3d4e-4023-8d7e...
11,8191004,8191004-3,fd2afc45-72df-4a73-a321...
12,9292166,9292166-6,d322e284-3904-4a25-9e4d...
13,7493127,7493127-2,fb7abfae-99c8-45c1-84d5...
14,9574717,5278673-1,d5b72ac6-43a0-4467-9763...
15,8253770,4868383-1,4cb74cb2-62e7-48d0-af79...
16,10075818,8892403-1,44a43e0d-f423-4c58-8ab...
17,9298333,4529932-2,0e3a5743-3d72-45ef-ab5b...
18,8393740,5809166-1,53b2ae51-5ee3-4eee-84f2...
19,9576443,9104838-1,884262d3-43db-449f-90e2...
20,9352209,8177260-2,e777f3df-95a1-4c9b-a780...
21,7398231,6199099-1,1070a0cc-bcff-47cb-ba62...
22,9589531,6618705-3,9eff86d4-9061-4efd-a7b3...
23,7873516,6111572-3,35a36b24-2ac2-4a6a-9714...
24,9130711,6961376-3,fd2afc45-72df-4a73-a321...
25,8793583,7450180-2,784bd297-e174-4b80-ab09...
26,7613426,4881252-1,290559dc-02ce-422e-a0f4...
27,9247386,7558786-1,a80b27d1-29c7-4841-8f34...
28,8170583,6832207-1,4f5e4429-aac1-4314-9beb...
29,7708493,7133003-2,4e7797c1-b5d1-46c9-81a0...
30,8577594,5889768-2,8cff72fd-0bdd-46c9-b1f1...
31,8818753,8180591-1,ee2eea05-fc09-46be-8a5a...
