,patent_id,inventor_id,location_id
0,6938070,6938070-1,643d3081-ce8c-4126-bbbd...
1,9361603,6131116-10,a80b27d1-29c7-4841-8f3...
2,9747266,7831558-4,6f3b1f3d-3127-47ff-87df...
3,8812702,6131116-2,a80b27d1-29c7-4841-8f34...
4,9515966,9515966-1,7bbb5286-b6d0-49d7-96eb...
5,7475060,7458029-4,6a0982c7-55ca-4d5d-afbd...
6,6993572,6629135-1,bdc7bae3-6fa7-4214-bae2...
7,9146656,8200247-7,541f6aa1-ad9c-4bd3-84db...
8,7441202,5523769-2,b37e014e-e0fc-4aa8-be3a...
9,8689273,6125388-1,4f5e4429-aac1-4314-9beb...
10,9747266,5598519-1,d819cf80-58a1-4e64-b179...
11,9361603,6708221-9,85c0f856-c244-4688-86e1...
12,8631456,6125388-1,4f5e4429-aac1-4314-9beb...
13,9203786,7653648-4,290559dc-02ce-422e-a0f4...
14,8117344,6131116-3,3af1db57-f6de-4928-96e5...
15,8850507,6125388-1,4f5e4429-aac1-4314-9beb...
16,8812702,6131096-2,541f6aa1-ad9c-4bd3-84db...
17,7814055,5956728-3,340e7bf2-d0b5-48ad-b0f1...
18,8117344,5961590-2,83cb4e57-2d6d-4bb8-8002...
19,7783703,7783703-3,44a43e0d-f423-4c58-8ab4...
20,8812702,6131096-1,44a43e0d-f423-4c58-8ab4...
21,7475060,7358962-4,6f3b1f3d-3127-47ff-87df...
22,6856984,6856984-1,35a36b24-2ac2-4a6a-9714...
23,7814055,5146556-1,9f55ff27-5a58-4eb5-be7a...
24,7818718,6588576-1,5dae3a1d-1138-4886-8320...
25,9361603,5790425-1,790a1f93-b417-4a90-a260...
26,8676778,5778367-1,a80b27d1-29c7-4841-8f34...
27,7818399,6629135-1,bdc7bae3-6fa7-4214-bae2...
28,7818399,6629135-4,8f9d901b-2163-417a-a26e...
29,8949769,8311279-2,d02b3fe9-dc72-442e-8923...
30,9361603,6131116-11,85c0f856-c244-4688-86e...
31,8667397,8667397-1,4f5e4429-aac1-4314-9beb...
32,7624145,7624145-2,6f3b1f3d-3127-47ff-87df...
33,9639876,6629135-4,8f9d901b-2163-417a-a26e...
34,7800618,7164423-1,85c0f856-c244-4688-86e1...
35,8812702,6131116-11,85c0f856-c244-4688-86e...
36,8745167,5961590-4,423d33fe-8365-4bdc-bde7...
37,9043228,6629135-2,7c931be7-157d-42f6-a186...
38,7685510,7124148-1,9a4da524-1368-4a2e-bbea...
39,7991637,7383291-3,f16e1f33-6bd9-4d61-b56d...
40,9361603,5961590-2,83cb4e57-2d6d-4bb8-8002...
41,8661495,6125388-1,4f5e4429-aac1-4314-9beb...
42,6993572,6629135-4,8f9d901b-2163-417a-a26e...
43,7814055,7346705-2,f16e1f33-6bd9-4d61-b56d...
44,7174083,D344500-3,884262d3-43db-449f-90e2...
45,9146656,5995557-1,ab652a00-c10d-4f0e-a480...
46,7007235,7007235-1,4f5e4429-aac1-4314-9beb...
47,10095674,4523271-1,ee2eea05-fc09-46be-8a5...
48,6047288,5440731-5,bc2273ca-6179-483a-85fe...
49,8745167,6131096-2,541f6aa1-ad9c-4bd3-84db...
50,8117344,5790425-1,790a1f93-b417-4a90-a260...
51,7991637,7346705-2,f16e1f33-6bd9-4d61-b56d...
52,9203786,5664099-1,290559dc-02ce-422e-a0f4...
53,7818399,6629135-2,7c931be7-157d-42f6-a186...
54,7624145,5464982-1,4e7797c1-b5d1-46c9-81a0...
55,7818399,6629135-3,3bb1ef2c-bb1d-43ab-89a9...
56,9146656,9146656-2,541f6aa1-ad9c-4bd3-84db...
57,8954857,7337358-5,a80b27d1-29c7-4841-8f34...
58,7966301,5889505-1,6f3b1f3d-3127-47ff-87df...
59,9639876,6585775-2,707396b7-50ac-4dd7-8654...
60,7904526,5627975-2,6706de39-b91e-45dd-8a2f...
61,6686933,6686933-3,1dec8cd3-4667-49e0-a481...
62,8745167,6131116-11,85c0f856-c244-4688-86e...
63,8898722,6125388-1,4f5e4429-aac1-4314-9beb...
64,8515825,6629135-1,bdc7bae3-6fa7-4214-bae2...
65,6993572,6629135-3,3bb1ef2c-bb1d-43ab-89a9...
66,7624145,7624145-4,4e7797c1-b5d1-46c9-81a0...
67,8239234,7383291-3,f16e1f33-6bd9-4d61-b56d...
68,7216300,7216300-1,784bd297-e174-4b80-ab09...
69,8793595,6112250-1,b04c1398-770a-4b72-8206...
70,8751442,5664099-1,290559dc-02ce-422e-a0f4...
71,8296671,5485465-1,6f3b1f3d-3127-47ff-87df...
72,6686933,6686933-2,44a43e0d-f423-4c58-8ab4...
73,8239234,7383291-2,f16e1f33-6bd9-4d61-b56d...
74,8965989,5627975-2,7bbb5286-b6d0-49d7-96eb...
75,8745167,5961590-1,85c0f856-c244-4688-86e1...
76,9747266,6446113-1,f4aa7b22-01d6-416a-943d...
77,8812702,6131116-10,a80b27d1-29c7-4841-8f3...
78,7174083,7174083-4,541f6aa1-ad9c-4bd3-84db...
79,8453066,7831558-4,6f3b1f3d-3127-47ff-87df...
80,8239234,8239234-1,f16e1f33-6bd9-4d61-b56d...
81,8965989,6681985-2,0b128019-6651-4731-8a30...
82,8745167,6131096-1,44a43e0d-f423-4c58-8ab4...
83,9639876,6629135-3,4e7797c1-b5d1-46c9-81a0...
84,8239234,7383291-4,f16e1f33-6bd9-4d61-b56d...
85,8751442,7831558-4,6f3b1f3d-3127-47ff-87df...
86,9361603,6131096-1,44a43e0d-f423-4c58-8ab4...
87,8453066,8453066-4,d819cf80-58a1-4e64-b179...
88,9361603,5961590-4,423d33fe-8365-4bdc-bde7...
89,6686933,5025314-1,884262d3-43db-449f-90e2...
90,8745167,6708221-9,85c0f856-c244-4688-86e1...
91,8745167,6131116-2,a80b27d1-29c7-4841-8f34...
92,8527640,6125388-1,4f5e4429-aac1-4314-9beb...
93,8646020,6125388-1,4f5e4429-aac1-4314-9beb...
94,7174083,7174083-1,541f6aa1-ad9c-4bd3-84db...
95,7991637,7383291-4,f16e1f33-6bd9-4d61-b56d...
96,7822713,5956728-3,6d85ba8d-eb61-4648-9d45...
97,9043228,6629135-4,8f9d901b-2163-417a-a26e...
98,8812702,5961590-2,83cb4e57-2d6d-4bb8-8002...
99,7987491,6125388-1,4f5e4429-aac1-4314-9beb...
100,6993572,6585775-2,707396b7-50ac-4dd7-8654...
101,8812702,6708221-9,85c0f856-c244-4688-86e1...
102,9203786,7831558-4,6f3b1f3d-3127-47ff-87df...
103,8117344,5961590-1,85c0f856-c244-4688-86e1...
104,8732251,6681985-2,0b128019-6651-4731-8a30...
105,9639876,6629135-1,3d92cc9a-dea9-4906-bf84...
106,7007235,7007235-2,0010c4ad-3f0a-4f72-b168...
107,8954857,8108777-1,44a43e0d-f423-4c58-8ab4...
108,8954857,7479968-5,2432d162-8224-48fe-bf63...
109,7624145,7624145-1,b24ab11e-8d90-4d3f-b422...
110,6993572,6629135-2,7c931be7-157d-42f6-a186...
111,8489999,6564209-1,80f64611-f1d7-49f2-8676...
112,9515966,6681985-2,0b128019-6651-4731-8a30...
113,9203786,5598519-1,d819cf80-58a1-4e64-b179...
114,8453066,6446113-1,f4aa7b22-01d6-416a-943d...
115,9565394,6009302-2,784bd297-e174-4b80-ab09...
116,8117344,5961590-4,423d33fe-8365-4bdc-bde7...
117,8117344,6708221-9,85c0f856-c244-4688-86e1...
118,8745167,6131116-3,3af1db57-f6de-4928-96e5...
119,9639876,6629135-2,7c931be7-157d-42f6-a186...
120,8527440,7584163-2,0c42e522-57c7-4902-8df0...
121,8897603,8897603-1,9afa0f25-903d-41f1-b589...
122,8949769,5701399-3,50806401-7b66-4b47-8cb2...
123,8751442,6446113-1,f4aa7b22-01d6-416a-943d...
124,9361603,6131096-2,b5a55c8d-df9f-42d6-b83d...
125,9043228,6585775-2,707396b7-50ac-4dd7-8654...
126,8667398,6112250-1,4f5e4429-aac1-4314-9beb...
127,8296671,8296671-3,6f3b1f3d-3127-47ff-87df...
128,9747266,9747266-5,290559dc-02ce-422e-a0f4...
129,9565394,9565394-4,04715b08-c0d2-48a3-947f...
130,7822713,5146556-1,9f55ff27-5a58-4eb5-be7a...
131,8515825,6629135-4,8f9d901b-2163-417a-a26e...
132,7814055,7346705-3,f16e1f33-6bd9-4d61-b56d...
133,9361603,6131116-3,3af1db57-f6de-4928-96e5...
134,9043228,6629135-3,0306b26b-be5e-4a4b-8b73...
135,8949769,4984235-3,290559dc-02ce-422e-a0f4...
136,8812702,5790425-1,790a1f93-b417-4a90-a260...
137,8812702,5961590-4,423d33fe-8365-4bdc-bde7...
138,9172667,6112250-1,b04c1398-770a-4b72-8206...
139,8117344,6131116-11,85c0f856-c244-4688-86e...
140,7475060,5889505-1,6f3b1f3d-3127-47ff-87df...
141,8745167,5790425-1,790a1f93-b417-4a90-a260...
142,6970828,6970828-2,e89b54e4-0779-4d14-b9a0...
143,6047288,3956646-2,9ef817d6-c978-4385-a9ae...
144,8117344,6131116-2,a80b27d1-29c7-4841-8f34...
145,7899915,6125388-1,4f5e4429-aac1-4314-9beb...
146,7174083,4987492-2,56a4bde6-3d67-496b-a899...
147,7296232,7051038-2,d819cf80-58a1-4e64-b179...
148,9203786,6446113-1,f4aa7b22-01d6-416a-943d...
149,7966301,7458029-4,6a0982c7-55ca-4d5d-afbd...
150,7818399,6585775-2,707396b7-50ac-4dd7-8654...
151,7822713,7346705-2,f16e1f33-6bd9-4d61-b56d...
152,7818718,7167869-1,cfb81800-ac49-4666-831e...
153,8117344,6131116-10,a80b27d1-29c7-4841-8f3...
154,8515825,6629135-2,7c931be7-157d-42f6-a186...
155,6970828,6725428-5,b2658bae-c6e3-43d6-a3bb...
156,7571212,6681985-2,0b128019-6651-4731-8a30...
157,9565394,5369675-5,784bd297-e174-4b80-ab09...
158,8489999,7599520-2,1070a0cc-bcff-47cb-ba62...
159,9361603,5961590-1,85c0f856-c244-4688-86e1...
160,8745167,5961590-2,83cb4e57-2d6d-4bb8-8002...
161,9361603,6131116-2,a80b27d1-29c7-4841-8f34...
162,8515825,6585775-2,707396b7-50ac-4dd7-8654...
163,8515825,6629135-3,3bb1ef2c-bb1d-43ab-89a9...
164,8812702,5961590-1,85c0f856-c244-4688-86e1...
165,7233951,7233951-2,c1caa52a-464a-47ab-a5ae...
166,7441202,7376901-3,290559dc-02ce-422e-a0f4...
167,9565394,5203646-3,784bd297-e174-4b80-ab09...
168,8296671,5598519-1,d819cf80-58a1-4e64-b179...
169,8875215,6125388-1,4f5e4429-aac1-4314-9beb...
170,8893212,6125388-1,4f5e4429-aac1-4314-9beb...
171,7216002,6104604-1,0babfc17-ea18-4d60-b4e9...
172,7783703,7783703-6,ef00c789-9502-4bb7-a7a5...
173,7174083,5471578-3,55a2157c-95fa-408a-9d3a...
174,9143839,9143839-1,4f5e4429-aac1-4314-9beb...
175,8762855,8762855-1,b04c1398-770a-4b72-8206...
176,7783703,7783703-2,541f6aa1-ad9c-4bd3-84db...
177,7441202,6764185-3,0010c4ad-3f0a-4f72-b168...
178,7904526,6681985-2,0b128019-6651-4731-8a30...
179,9043228,6629135-1,3d92cc9a-dea9-4906-bf84...
180,7233951,7233951-1,6f3b1f3d-3127-47ff-87df...
181,8949769,5745904-3,4e7797c1-b5d1-46c9-81a0...
182,8676778,5189401-2,df8c22b6-1b75-470d-9aa3...
183,8813125,6125388-1,4f5e4429-aac1-4314-9beb...
184,8713441,6112250-1,b04c1398-770a-4b72-8206...
185,7783703,6452598-1,790a1f93-b417-4a90-a260...
186,8117344,6131096-2,541f6aa1-ad9c-4bd3-84db...
187,7783703,7783703-5,ab652a00-c10d-4f0e-a480...
188,8812702,6131116-3,3af1db57-f6de-4928-96e5...
189,8584017,6112250-1,b04c1398-770a-4b72-8206...
190,8640183,6125388-1,4f5e4429-aac1-4314-9beb...
191,5634129,5500929-1,ffd4031b-b8dd-4c7e-a629...
192,7624145,6040841-2,6f3b1f3d-3127-47ff-87df...
193,8914840,6125388-1,4f5e4429-aac1-4314-9beb...
194,8453066,5664099-1,290559dc-02ce-422e-a0f4...
195,7822713,7346705-3,f16e1f33-6bd9-4d61-b56d...
196,8161172,6125388-1,4f5e4429-aac1-4314-9beb...
197,9747266,5664099-1,290559dc-02ce-422e-a0f4...
198,8117344,6131096-1,44a43e0d-f423-4c58-8ab4...
199,8453066,7653648-4,290559dc-02ce-422e-a0f4...
200,7571212,5627975-2,7bbb5286-b6d0-49d7-96eb...
201,7441202,5553214-3,0010c4ad-3f0a-4f72-b168...
202,8745167,8745167-8,a80b27d1-29c7-4841-8f34...
203,8584018,6112250-1,b04c1398-770a-4b72-8206...
204,8751442,5598519-1,d819cf80-58a1-4e64-b179...
205,9203786,6591250-2,290559dc-02ce-422e-a0f4...
206,7296232,6501318-2,4e7797c1-b5d1-46c9-81a0...
207,7783703,7783703-4,a80b27d1-29c7-4841-8f34...
208,8732251,5627975-2,6706de39-b91e-45dd-8a2f...
209,7991637,7383291-2,f16e1f33-6bd9-4d61-b56d...
210,9727135,9727135-3,8f9d901b-2163-417a-a26e...
211,9653044,9653044-1,4e7797c1-b5d1-46c9-81a0...
212,9737798,8808089-1,25a2bf78-9411-427f-a8c9...
213,8478642,8139850-4,22b31977-37d0-4402-8994...
214,9550124,6462677-4,25a2bf78-9411-427f-a8c9...
215,8803909,7748622-4,00ac459d-af7d-4503-bcd5...
216,9477302,7092740-1,541f6aa1-ad9c-4bd3-84db...
217,8009192,4980583-1,da4552fb-6e9a-4607-acf0...
218,9829577,5101480-1,6f1c07e2-c9b7-4e0d-a1f0...
219,8478642,8478642-3,22b31977-37d0-4402-8994...
220,9547370,5572626-3,2432d162-8224-48fe-bf63...
221,8009192,7535571-4,0010c4ad-3f0a-4f72-b168...
222,9737798,6992679-4,943cdf56-d0b8-428a-8a4d...
223,8276069,8112722-1,fd2afc45-72df-4a73-a321...
224,8705893,7091902-1,3af1db57-f6de-4928-96e5...
225,8705893,5167016-4,884262d3-43db-449f-90e2...
226,7793225,D525953-1,541f6aa1-ad9c-4bd3-84db...
227,9547636,8330773-2,de645a8e-1e01-4825-a84d...
228,9550124,8808089-1,25a2bf78-9411-427f-a8c9...
229,8705893,8705893-7,71f4a5f0-d9c9-4669-b40a...
230,8330773,8330773-2,de645a8e-1e01-4825-a84d...
231,8762715,6070137-1,df51e03f-f757-495c-9651...
232,8803909,8330773-2,de645a8e-1e01-4825-a84d...
233,7533079,4990838-2,9ef817d6-c978-4385-a9ae...
234,7912828,7912828-2,f16e1f33-6bd9-4d61-b56d...
235,7957007,6520647-1,0010c4ad-3f0a-4f72-b168...
236,9128596,7900137-2,6d72d74d-7137-4748-bfa8...
237,9946333,5518789-3,943cdf56-d0b8-428a-8a4d...
238,9727135,9344688-2,e0f2913c-7029-4d00-be71...
239,9256908,9256908-1,4c3e70e3-d26d-4410-8cb6...
240,8009192,8009192-7,11c35408-410d-4b4a-a5e4...
241,9569001,7707515-1,0010c4ad-3f0a-4f72-b168...
242,8009192,8009192-10,347e0a18-82c1-4f1a-a91...
243,9094405,5327107-1,14a13226-fc55-48ed-801d...
244,9411432,5572626-3,2432d162-8224-48fe-bf63...
245,8803909,7971152-1,b7a2f4c2-ed08-4d20-9b69...
246,9244888,9244888-1,4e7797c1-b5d1-46c9-81a0...
247,9946333,9317109-2,58009010-9ea0-44a7-83ee...
248,7673244,7673244-4,4caca4fb-cef5-44d3-b15e...
249,9550124,6992679-4,943cdf56-d0b8-428a-8a4d...
250,9569001,8751049-2,0010c4ad-3f0a-4f72-b168...
251,9971409,8390594-1,5e5b5aca-0565-402f-844b...
252,8009192,6520647-1,0010c4ad-3f0a-4f72-b168...
253,9946333,8808089-1,1138e630-e397-4aff-bbc1...
254,7991721,7991721-1,b28c0abb-6406-4687-800a...
255,9550124,8808089-3,684da55d-9dad-45f2-ac2a...
256,9547636,8330773-3,ed234998-d812-49ae-9378...
257,10025546,8346827-1,25d1956a-2f0c-4cca-b93...
258,8516075,8243899-2,cd6cf4d6-082c-46f5-a48e...
259,8009192,5434440-8,0010c4ad-3f0a-4f72-b168...
260,8478642,8478642-1,22b31977-37d0-4402-8994...
261,8762715,5179725-1,11c35408-410d-4b4a-a5e4...
262,8330773,8330773-1,8060738e-5526-4ce3-8c70...
263,7817991,6101513-2,6f3b1f3d-3127-47ff-87df...
264,7533079,6226589-3,9ef817d6-c978-4385-a9ae...
265,8260883,7852711-2,ac1b0a15-14e8-4070-b049...
266,7793225,D453166-1,541f6aa1-ad9c-4bd3-84db...
267,9778546,8808089-3,684da55d-9dad-45f2-ac2a...
268,9256908,6195458-4,04eac71c-416f-412f-af59...
269,7793225,5844901-2,541f6aa1-ad9c-4bd3-84db...
270,8009192,6436688-3,f2dc512b-627b-4543-b043...
271,9653044,6611921-3,d819cf80-58a1-4e64-b179...
272,9411432,6839067-1,3af1db57-f6de-4928-96e5...
273,7673244,6654601-4,84d374cf-8074-410a-9b2a...
274,7076675,7076675-1,c0c21b30-b815-447b-a084...
275,9547636,9547636-1,8060738e-5526-4ce3-8c70...
276,8705893,8705893-3,d9338197-c18d-4878-abb2...
277,9778546,9317109-4,d946166b-0db4-48f5-a4db...
278,9778546,8808089-1,684da55d-9dad-45f2-ac2a...
279,8803909,8330773-1,8060738e-5526-4ce3-8c70...
280,9477302,9317721-5,884262d3-43db-449f-90e2...
281,7912828,7912828-1,f16e1f33-6bd9-4d61-b56d...
282,9317171,5471578-2,44a43e0d-f423-4c58-8ab4...
283,8009192,8009192-3,8f9d901b-2163-417a-a26e...
284,9653044,7186004-1,70bdce0b-e796-4e54-8f75...
285,8732571,8645362-2,3af1db57-f6de-4928-96e5...
286,7673244,6654601-5,ae81e7e9-eb9b-4550-a47d...
287,9477302,8643951-2,541f6aa1-ad9c-4bd3-84db...
288,9317171,9069415-1,a80b27d1-29c7-4841-8f34...
289,7957007,4980583-1,da4552fb-6e9a-4607-acf0...
290,9355599,5948406-2,35a36b24-2ac2-4a6a-9714...
291,10025546,5195025-2,df51e03f-f757-495c-965...
292,9946333,9317109-4,d946166b-0db4-48f5-a4db...
293,9778546,9778546-5,58009010-9ea0-44a7-83ee...
294,8516075,4446194-1,658ef0a3-a197-4374-9138...
295,8705893,5633131-4,3af1db57-f6de-4928-96e5...
296,9256908,5114905-3,d6e28feb-7c2d-4edb-becd...
297,9256908,6968358-5,25adfeb1-8402-40db-92c8...
298,9727135,6301635-2,e0f2913c-7029-4d00-be71...
299,9317171,7822765-1,7df67244-1c2d-42bd-aeeb...
300,9727135,6718351-1,e0f2913c-7029-4d00-be71...
301,8330773,7971152-1,b7a2f4c2-ed08-4d20-9b69...
302,8276069,7496580-1,95c07c6c-8c4d-4f43-8a1d...
303,9477302,8611670-1,85c0f856-c244-4688-86e1...
304,8260883,5689617-1,44a43e0d-f423-4c58-8ab4...
305,9550124,8730778-3,25a2bf78-9411-427f-a8c9...
306,9547636,9547636-5,00ac459d-af7d-4503-bcd5...
307,7793225,6714221-1,a80b27d1-29c7-4841-8f34...
308,7991721,7035926-4,ee38892c-4753-47e3-8f5f...
309,7673244,6055562-4,6ee0e70a-cb27-4b4e-a23c...
310,9778546,9317109-2,58009010-9ea0-44a7-83ee...
311,8009192,4876455-3,4f5e4429-aac1-4314-9beb...
312,9727135,9727135-2,062e33fc-d8dc-4abd-a76c...
313,8732571,5873830-7,2432d162-8224-48fe-bf63...
314,7533079,5442269-1,9ef817d6-c978-4385-a9ae...
315,9244888,8170656-2,290559dc-02ce-422e-a0f4...
316,9727583,7717569-3,51c10b7f-c03b-46fd-896a...
317,7793225,6253228-3,44a43e0d-f423-4c58-8ab4...
318,9971409,6445284-1,5e5b5aca-0565-402f-844b...
319,8705893,5606693-2,82c8fc98-eb85-4cea-aa20...
320,9477302,8060533-1,541f6aa1-ad9c-4bd3-84db...
321,9946333,9317109-3,aad885f4-aee1-41b0-879a...
322,9737798,9737798-5,2fafb88c-e45b-4af5-b63d...
323,9355599,6417245-3,35a36b24-2ac2-4a6a-9714...
324,9778546,9778546-6,58009010-9ea0-44a7-83ee...
325,9477302,8074241-2,541f6aa1-ad9c-4bd3-84db...
326,9547370,6839067-1,3af1db57-f6de-4928-96e5...
327,9547370,5471578-2,44a43e0d-f423-4c58-8ab4...
328,10025546,9260200-3,df51e03f-f757-495c-965...
329,9547370,9069415-1,a80b27d1-29c7-4841-8f34...
330,9477302,6436688-3,a80b27d1-29c7-4841-8f34...
331,8803909,8330773-3,ed234998-d812-49ae-9378...
332,8330773,8330773-3,ed234998-d812-49ae-9378...
333,8516075,D422595-3,afda23e1-9bc9-4027-92c6...
334,9317171,6839067-1,3af1db57-f6de-4928-96e5...
335,7991721,7443283-2,fea23a81-29af-4520-9735...
336,9737798,8808089-3,684da55d-9dad-45f2-ac2a...
337,7792834,7792834-1,7fcf2e69-3389-485e-8a13...
338,7076675,7076675-2,e2038a15-4d3a-41e8-893f...
339,10025546,5253344-1,265c0f0d-8eb0-441c-bc6...
340,9727583,9600099-2,51c10b7f-c03b-46fd-896a...
341,8516075,8516075-3,b519888b-8245-47a2-a630...
342,9829577,6892146-1,6f1c07e2-c9b7-4e0d-a1f0...
343,8650345,5694022-1,6f3b1f3d-3127-47ff-87df...
344,9547636,7971152-1,b7a2f4c2-ed08-4d20-9b69...
345,9946333,8808089-3,684da55d-9dad-45f2-ac2a...
346,8705893,8705893-6,a80b27d1-29c7-4841-8f34...
