,mag_id,venue
0,7315857,CHI
1,9204901,CHI
2,9237225,CHI
3,9453182,UBI
4,11737516,UBI
5,14097345,CHI
6,14764284,CHI
7,15184679,CHI
8,15455164,CHI
9,16825175,CHI
10,16995082,CSCW
11,20835950,CHI
12,23799494,CHI
13,31544869,UBI
14,33011090,CHI
15,33098036,CSCW
16,34669548,UBI
17,35677263,CHI
18,35771098,UBI
19,46930313,CHI
20,48552332,CHI
21,53253853,UBI
22,54337713,CHI
23,61740698,CSCW
24,62510238,CHI
25,66855658,UBI
26,72272598,CHI
27,76826465,UBI
28,77669910,CHI
29,80591862,UIST
30,81814971,CHI
31,82009704,CHI
32,86270486,CSCW
33,87097853,UBI
34,93234855,CHI
35,97620452,CHI
36,100552089,UBI
37,100915271,CHI
38,101198059,CHI
39,108536157,CHI
40,111057047,UBI
41,115227525,UBI
42,118469824,CHI
43,121344252,CHI
44,123037820,CSCW
45,123822285,CHI
46,126420500,UBI
47,127281701,CHI
48,127599790,CHI
49,133482945,CHI
50,133851565,CHI
51,134934531,CSCW
52,141727953,CHI
53,143040531,CHI
54,146204351,CHI
55,152691338,UBI
56,154125449,CSCW
57,155266257,CHI
58,160108313,CSCW
59,160716631,CHI
60,162834294,CHI
61,164252377,UBI
62,169862718,CSCW
63,172137682,UBI
64,177051605,CHI
65,177971781,UBI
66,180551962,CHI
67,181040134,CHI
68,181232118,UBI
69,189297676,CHI
70,192719976,UBI
71,195783006,CHI
72,197081781,CHI
73,223137331,UBI
74,231843413,CHI
75,246191141,CHI
76,272788418,CHI
77,276419786,UBI
78,280903413,CSCW
79,295304183,CHI
80,298884513,UBI
81,302317919,CHI
82,321814680,CHI
83,323081584,CHI
84,324789882,CHI
85,327247425,CHI
86,333432048,CHI
87,341043164,UBI
88,343341991,CHI
89,353655284,CHI
90,356486186,CHI
91,386899659,CSCW
92,399649055,CHI
93,404270636,CHI
94,435611976,UBI
95,564291888,CHI
96,568584122,CSCW
97,584437990,CHI
98,586613218,CHI
99,592086414,UBI
100,615628998,UBI
101,615803089,CHI
102,616575050,CSCW
103,621243980,CHI
104,628647563,CHI
105,648707631,UBI
106,827843699,UBI
107,840887891,UBI
108,863349710,CSCW
109,955686634,UBI
110,1001944803,CHI
111,1024238720,CHI
112,1119960297,CHI
113,1139813074,UBI
114,1165823106,CSCW
115,1177652619,UBI
116,1193154400,CHI
117,1239974197,CSCW
118,1278568524,CHI
119,1480969602,CHI
120,1481748264,CHI
