,mag_id,venue
0,2244428935,CHI
1,2336371700,CHI
2,2336913620,CHI
3,2337539845,CHI
4,2337630312,CHI
5,2338582311,CHI
6,2338846068,CHI
7,2330983506,CHI
8,2338946913,CHI
9,2247051980,CHI
10,2247131387,CHI
11,2339324905,CHI
12,2339558352,CHI
13,100915271,CHI
14,108536157,CHI
15,2402021049,CHI
16,2402038603,CHI
17,2402069821,CHI
18,2402095105,CHI
19,2402110403,CHI
20,2402168680,CHI
21,2402232136,CHI
22,33011090,CHI
23,2402245555,CHI
24,2402253831,CHI
25,2402279917,CHI
26,2402350230,CHI
27,2402379425,CHI
28,33967157,CHI
29,2402448694,CHI
30,2402451329,CHI
31,2402471978,CHI
32,2402577708,CHI
33,2402582321,CHI
34,2402610236,CHI
35,2402642969,CHI
36,2402649561,CHI
37,2402656541,CHI
38,2402656966,CHI
39,2402659696,CHI
40,2402713938,CHI
41,2402790201,CHI
42,2402825495,CHI
43,2402845272,CHI
44,2402880877,CHI
45,2402904651,CHI
46,2402926652,CHI
47,2402929775,CHI
48,2402939184,CHI
49,2402976668,CHI
50,2403010436,CHI
51,2412166786,CHI
52,2403043020,CHI
53,2403048769,CHI
54,2403161075,CHI
55,2403232321,CHI
56,2403260819,CHI
57,2403270622,CHI
58,2403343111,CHI
59,2403392837,CHI
60,2403395451,CHI
61,2403418776,CHI
62,2403455801,CHI
63,2403510326,CHI
64,2403516514,CHI
65,2403528767,CHI
66,2403538530,CHI
67,2403583029,CHI
68,2403622147,CHI
69,2403712144,CHI
70,2403762811,CHI
71,2403823533,CHI
72,2403940793,CHI
73,2403948324,CHI
74,2403952997,CHI
75,2403959797,CHI
76,2403961113,CHI
77,2403972022,CHI
78,2403972606,CHI
79,2403986473,CHI
80,2404028076,CHI
81,2404051271,CHI
82,2404055023,CHI
83,2404075216,CHI
84,2404084944,CHI
85,2404105013,CHI
86,2404128142,CHI
87,2404167293,CHI
88,2404208145,CHI
89,2404215071,CHI
90,2404225345,CHI
91,2404411786,CHI
92,2404425257,CHI
93,2404427926,CHI
94,2404471536,CHI
95,2404500466,CHI
96,2404511407,CHI
97,2404573916,CHI
98,2404594755,CHI
99,2404627898,CHI
100,2404646203,CHI
101,2404696582,CHI
102,2404769241,CHI
103,2404781118,CHI
104,2404795908,CHI
105,2404820979,CHI
106,2404851688,CHI
107,2404856281,CHI
108,2404879570,CHI
109,2404879977,CHI
110,2404891999,CHI
111,2404916297,CHI
112,2404945602,CHI
113,2404987363,CHI
114,2405022506,CHI
115,2405023176,CHI
116,2405042511,CHI
117,2405087042,CHI
118,46930313,CHI
119,2405114316,CHI
120,2405184512,CHI
121,2405187615,CHI
122,2405187948,CHI
123,2405262210,CHI
124,2405268431,CHI
125,2405357702,CHI
126,2405412416,CHI
127,2405428281,CHI
128,2405450218,CHI
129,2157109384,CHI
130,2157171220,CHI
131,2157178484,CHI
132,2157186766,CHI
133,2157219361,CHI
134,2157219791,CHI
135,2157273066,CHI
136,2157300362,CHI
137,2157301849,CHI
138,2157320214,CHI
139,2157368088,CHI
140,2157376643,CHI
141,2157392897,CHI
142,2157397955,CHI
143,2157409686,CHI
144,2157428377,CHI
145,2157433122,CHI
146,2157507925,CHI
147,2157539236,CHI
148,2157545667,CHI
149,2157556183,CHI
150,2157567323,CHI
151,2157570155,CHI
152,2157574576,CHI
153,2157598823,CHI
154,2157611404,CHI
155,2157635989,CHI
156,2157679928,CHI
157,2157681268,CHI
158,2157707301,CHI
159,2157708517,CHI
160,2157753849,CHI
161,2157760014,CHI
162,2157771033,CHI
163,2157801514,CHI
164,2157829401,CHI
165,2157841038,CHI
166,2157861773,CHI
167,2157922094,CHI
168,2157947054,CHI
169,2157973822,CHI
170,2157987115,CHI
171,2157988746,CHI
172,2158001129,CHI
173,2158006245,CHI
174,2158035776,CHI
175,2158110856,CHI
176,2158179454,CHI
177,2158231614,CHI
178,2158246988,CHI
179,2158283206,CHI
180,2158318240,CHI
181,2158321038,CHI
182,2158325852,CHI
183,2158391167,CHI
184,2158428237,CHI
185,2158447593,CHI
186,2158508294,CHI
187,2158519170,CHI
188,2158520077,CHI
